device_id: 66309, type: ext4, source: /dev/nvme0n1p5, target: /, root: /, real_device: /dev/nvme0n1p5
device_id: 66306, type: ext4, source: /dev/nvme0n1p2, target: /boot, root: /, real_device: /dev/nvme0n1p2
device_id: 66308, type: ext4, source: /dev/nvme0n1p4, target: /recovery, root: /, real_device: /dev/nvme0n1p4
device_id: 66305, type: vfat, source: /dev/nvme0n1p1, target: /boot/efi, root: /, real_device: /dev/nvme0n1p1
device_id: 2049, type: ext4, source: /dev/sda1, target: /data, root: /, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /var, root: /var, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /opt, root: /opt, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /home, root: /home, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /root, root: /root, real_device: /dev/sda1
-------------------------------
[2024-11-07 09:52:03.267428727] [DEBUG] [Thread 140405665400064] Scanning /data/home/dxnu...
/
/boot
/recovery
/boot/efi
/data
-------------------------------
[2024-11-07 09:52:04.878940806] [DEBUG] [Thread 140405665400064] Record size: 122817
[2024-11-07 09:53:07.310684932] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-62.txt
[2024-11-07 09:53:07.310705695] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-63.txt
[2024-11-07 09:53:07.310730648] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-64.txt
[2024-11-07 09:53:07.310750214] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-65.txt
[2024-11-07 09:53:07.310768228] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-66.txt
[2024-11-07 09:53:07.310801377] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-67.txt
[2024-11-07 09:53:07.310820456] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-68.txt
[2024-11-07 09:53:07.310838041] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-69.txt
[2024-11-07 09:53:07.310856317] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-70.txt
[2024-11-07 09:53:07.316089389] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-71.txt
[2024-11-07 09:53:07.316116688] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-72.txt
[2024-11-07 09:53:07.316135913] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-73.txt
[2024-11-07 09:53:07.316156818] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-74.txt
[2024-11-07 09:53:07.316176684] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-75.txt
[2024-11-07 09:53:07.316194675] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-76.txt
[2024-11-07 09:53:07.316213198] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-77.txt
[2024-11-07 09:53:07.316231457] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-78.txt
[2024-11-07 09:53:07.316249103] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-79.txt
[2024-11-07 09:53:07.316266739] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-80.txt
[2024-11-07 09:53:07.325750592] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-81.txt
[2024-11-07 09:53:07.325807719] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-82.txt
[2024-11-07 09:53:07.325848968] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-83.txt
[2024-11-07 09:53:07.325887907] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-84.txt
[2024-11-07 09:53:07.325925624] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-85.txt
[2024-11-07 09:53:07.326013424] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-86.txt
[2024-11-07 09:53:07.326057601] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-87.txt
[2024-11-07 09:53:07.326095236] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-88.txt
[2024-11-07 09:53:07.326139588] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-89.txt
[2024-11-07 09:53:07.326180795] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-90.txt
[2024-11-07 09:53:07.338469460] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-91.txt
[2024-11-07 09:53:07.338532339] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-92.txt
[2024-11-07 09:53:07.338576491] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-93.txt
[2024-11-07 09:53:07.338618173] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-94.txt
[2024-11-07 09:53:07.338660413] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-95.txt
[2024-11-07 09:53:07.338703651] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-96.txt
[2024-11-07 09:53:07.338744191] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-97.txt
[2024-11-07 09:53:07.338785683] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-98.txt
[2024-11-07 09:53:07.338826290] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-99.txt
[2024-11-07 09:53:07.338866530] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-100.txt
[2024-11-07 09:53:07.349041485] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-101.txt
[2024-11-07 09:53:07.349103375] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-102.txt
[2024-11-07 09:53:07.349483883] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-103.txt
[2024-11-07 09:53:07.349521806] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-104.txt
[2024-11-07 09:53:07.349554500] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-105.txt
[2024-11-07 09:53:07.349586277] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-106.txt
[2024-11-07 09:53:07.349617489] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-107.txt
[2024-11-07 09:53:07.349684125] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-108.txt
[2024-11-07 09:53:07.349733397] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-109.txt
[2024-11-07 09:53:07.349778294] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-110.txt
[2024-11-07 09:53:07.362764947] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-111.txt
[2024-11-07 09:53:07.362840937] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-112.txt
[2024-11-07 09:53:07.362871765] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-113.txt
[2024-11-07 09:53:07.362901561] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-114.txt
